id	label	statement	subjects	speaker	job_title	state	party	barely_true	false	half_true	mostly_true	pants_on_fire	context
9794.json	true	Says Keene, N.H., requested a military-grade armored personnel truck, citing their annual Pumpkin Festival as a possible target for terrorists.	homeland-security,public-safety	john-oliver	Host, Last Week Tonight		none	0.0	0.0	2.0	4.0	0.0	a segment on his show, Last Week Tonight
3131.json	true	Were borrowing 40 cents of every dollar we spend.	federal-budget,abc-news-week	kent-conrad	U.S. Senator	North Dakota	democrat	0.0	0.0	0.0	1.0	0.0	"an interview on ""This Week with Christiane Amanpour."""
7870.json	half-true	Our ranking in terms of the best and worst states to do business in was 43 four years ago, and we just moved up to 17 two weeks ago.	job-accomplishments,jobs,small-business	scott-walker	Milwaukee County Executive	Wisconsin	republican	26.0	41.0	32.0	40.0	11.0	a television interview
9961.json	true	Every time [the people from Newport Tent] work in a city or town they have a whole different set of permits that they have to get in order to pitch a tent.	economy,government-efficiency,government-regulation,market-regulation,small-business	catherine-taylor	business owner	Rhode Island	republican	0.0	1.0	0.0	0.0	0.0	a TV interview
10788.json	half-true	The United States is about to have the smallest Army since before WWII, the smallest Navy since WWI and the smallest Air Force ever.	federal-budget,military	david-perdue	U.S. Senate candidate	Georgia	republican	5.0	1.0	4.0	5.0	1.0	his debut Senate floor speech
2476.json	false	Florida seniors are exempt from losing Medicare Advantage under the federal health care bill.	medicare	george-pataki	presidential candidate	New York	republican	0.0	1.0	0.0	0.0	0.0	a speech at the National Press Club in Washington, D.C.
314.json	false	I was pretty proud of being the only guy on the stage that ever had a job in the private sector.	candidates-biography	mitt-romney	Former governor	Massachusetts	republican	34.0	32.0	58.0	33.0	19.0	a campaign rally in Pensacola.
4128.json	false	Says a new report proves the stimulus supported by N.J. Democrats cost $278,000 per job.	stimulus	national-republican-congressional-committee			republican	18.0	9.0	8.0	5.0	8.0	a press release
2932.json	true	Oregonians have an amazing no-cost way to fight abortion with free political donations	abortion,campaign-finance	oregon-right-life-pac	politican action committee	Oregon	none	0.0	0.0	0.0	0.0	0.0	a newspaper ad
8225.json	false	A proposed San Antonio ordinance will allow men into womens restrooms in the city.	city-government,legal-issues	texas-values			none	1.0	1.0	0.0	0.0	0.0	an email blast
6859.json	half-true	Says tax revenues are the lowest they have been since World War II.	taxes	kurt-schrader	U.S. representative	Oregon	democrat	0.0	1.0	3.0	0.0	0.0	a newsletter.
3279.json	half-true	The firefighters, the policemen and others who supported (Wisconsin Gov. Scott Walker) in his election bid ... dont have to worry about their collective bargaining rights.	pundits,state-budget,abc-news-week,workers	donna-brazile	Political commentator	Washington, D.C.	democrat	0.0	1.0	4.0	7.0	0.0	"an interview on ""This Week with Christiane Amanpour."""
413.json	false	Barack Obama has written and co-sponsored more bills in three years than Hillary Clinton has in seven.	job-accomplishments	chain-email			none	11.0	43.0	8.0	5.0	105.0	a chain e-mail
13229.json	true	You can look at the propaganda on a lot of the terrorists sites and what Donald Trump saysabout Muslims is used to recruit fighters.	foreign-policy,religion,terrorism	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	the second 2016 presidential debate
10794.json	false	Says the estate tax, in many cases, forces family farmers and small businesses owners to sell their holdings.	agriculture,families,small-business,taxes	robert-hurt	U.S. Congressman	Virginia	republican	2.0	4.0	1.0	0.0	0.0	a statement.
5230.json	true	Right now in Georgia, nearly one in three leaving our prisons are re-convicted within three years.	criminal-justice	nathan-deal			republican	9.0	5.0	11.0	11.0	0.0	a speech
4401.json	true	Says the federal government is the largest energy user in the country.	energy	rob-portman	U.S. senator from Ohio	Ohio	republican	3.0	5.0	11.0	11.0	1.0	a newspaper column
5648.json	half-true	There is not one single federal housing program yet that has not needed a bailout to survive.	housing	lynn-westmoreland			republican	1.0	1.0	3.0	0.0	0.0	a congressional hearing 
13138.json	true	Says Donald Trump started his career back in 1973 being sued by the Justice Department for racial discrimination because he would not rent apartments in one of his developments to African-Americans.	candidates-biography,diversity,housing	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	the first presidential debate
7853.json	false	On restoring voting rights to non-violent felons.	criminal-justice,elections	ken-cuccinelli	Attorney General	Virginia	republican	1.0	10.0	3.0	2.0	1.0	news conference.
12642.json	false	The steel industry is producing as much steel in the United States as it ever was. Its just (that) it needs one-tenth of the workers that it used to.	economy,jobs,trade	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	remarks in Ottawa, Canada
8485.json	false	The insurance industry is actually run by mostly Democrats.	health-care	dana-perino	"Co-host on Fox News Channel's ""The Five"""		republican	1.0	1.0	0.0	0.0	1.0	"comments on Fox News Channel's ""The Five."""
1902.json	half-true	Right now every single one of the (oil) companies here today and dozens of others are drilling for free in the Gulf of Mexico on leases that will cost American taxpayers more than $50 billion in lost royalties.	energy,environment,federal-budget,government-efficiency,legal-issues,oil-spill	edward-markey			democrat	0.0	0.0	1.0	1.0	0.0	a statement at a hearing of a House Energy and Commerce subcommittee
11817.json	half-true	On opposing citizenship for illegal immigrants	immigration	marco-rubio	U.S. Senator	Florida	republican	33.0	24.0	32.0	35.0	5.0	a Republican debate in Iowa on Fox News
1689.json	false	A filibuster has never really been successfully used against a Supreme Court justice.	legal-issues,supreme-court,colbert-report	jeffrey-toobin	staff writer at the New Yorker, legal analyst for CNN and author	New York	none	0.0	1.0	0.0	0.0	0.0	"an interview on Comedy Central's ""The Colbert Report"""
5904.json	false	Democrats plan to keep student loan interest rates low by raising taxes on small businesses, very small businesses the kinds of small businesses that give jobs to graduates.	message-machine-2012,taxes	marco-rubio	U.S. Senator	Florida	republican	33.0	24.0	32.0	35.0	5.0	a video statement
3664.json	false	A $250 fine if youre caught with a plastic bag coming out of a store. Plastic bag police anyone?	environment	victoria-taft	radio talk show host	Oregon	none	0.0	2.0	0.0	0.0	1.0	a tweet
3359.json	true	Texas would have to increase current state spending by 28 percent just to reach the national average for spending per resident.	state-budget	scott-mccown	executive director, Center for Public Policy Priorities	Texas	democrat	0.0	0.0	0.0	0.0	0.0	a letter.
6853.json	false	Carol Shea-Porter wants to increase taxes on small business and job creators.	small-business	frank-guinta	U.S. Congress, NH-First District	New Hampshire	republican	1.0	1.0	1.0	1.0	0.0	an advertisement, “Veterans,”
4114.json	half-true	Our countrys got this huge debt, and (President Barack) Obama says raise taxes and keep spending more.	deficit,economy,federal-budget,taxes	crossroads-gps	Conservative advocacy group		republican	9.0	1.0	4.0	1.0	2.0	a television ad
11029.json	true	Greece is not a big economy. Its about the size of metropolitan Miami.	economy,foreign-policy	paul-krugman	New York Times columnist		none	0.0	2.0	3.0	4.0	0.0	"an interview on ABC's ""This Week with George Stephanopoulos"""
5645.json	false	Right now we have sufficient reserves to take care of Tennessees lottery scholarship students for a few years more.	deficit,lottery,state-finances	dolores-gresham	State senator	Tennessee	republican	0.0	2.0	0.0	0.0	0.0	an interview with reporters following presentation of improved lottery revenues.
9569.json	half-true	Says he voted for disaster relief and full funding of FEMA.	candidates-biography,congress,federal-budget,homeland-security,voting-record,weather	tom-cotton	U.S. House of Representatives	Arkansas	republican	3.0	4.0	2.0	3.0	1.0	a television ad
4589.json	false	These 15 political appointees (on the IPAB) will make all the major health care decisions for over 300 million Americans.	health-care,new-hampshire-2012,abc-news-week	michele-bachmann	Congresswoman	Minnesota	republican	8.0	22.0	6.0	4.0	16.0	a debate in New Hampshire
9970.json	true	In the last 10 years, Georgias middle class income has dropped $6,500.	census,income	jason-carter	State Senator	Georgia	democrat	1.0	0.0	2.0	1.0	0.0	television ad
32.json	half-true	He's leading by example, refusing contributions from PACs and Washington lobbyists.	ethics	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a TV ad.
835.json	half-true	"Measures in Barack Obama's health plan could ""lower health care costs for the typical family by $2,500 a year."""	health-care	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	in a television ad
13003.json	true	The Dallas Cowboys cant put a sticker on their helmets for the 5 police officers who were killed.	sports	james-woods	Actor		none	0.0	1.0	0.0	0.0	1.0	a tweet
8620.json	false	Says in the last five years Senate Republicans have placed a filibuster on every piece of legislation and every nominee.	congress,congressional-rules,government-efficiency	carla-axtman	Blogger	Oregon	columnist	0.0	1.0	0.0	0.0	0.0	an online article.
10212.json	half-true	Says Obamas net neutrality proposalputs the government in charge of determining Internet pricing, terms of service and what types of products and services can be delivered.	government-regulation,technology	ted-cruz	Senator	Texas	republican	36.0	33.0	15.0	19.0	8.0	a Facebook post
1621.json	true	"The Associated Press called Charlie Crist's attacks ""over the top,"" ""out of context,"" and ""not true."""	candidates-biography	marco-rubio	U.S. Senator	Florida	republican	33.0	24.0	32.0	35.0	5.0	a TV advertisement.
10045.json	false	Milwaukee police and firefighters are routinely getting 4 percent raises annually while everybody else is either getting zero or one percent raises.	workers	nik-kovac	Milwaukee Alderman	Wisconsin	none	0.0	1.0	0.0	0.0	0.0	a TV interview
9226.json	half-true	Last election, the Koch brothers spent three times what the top 10 unions spent combined.	campaign-finance	doonesbury			none	0.0	0.0	2.0	4.0	0.0	"the ""Doonesbury"" comic strip"
3727.json	false	The Bush tax cuts created about 8 million jobs over the first 10 years that they were in existence. Weve lost about 5 million of those jobs during this recession.	economy,history,jobs,taxes	john-boehner	Speaker of the House of Representatives	Ohio	republican	13.0	22.0	11.0	4.0	2.0	"an interview on NBC's ""Today"" show"
2742.json	half-true	Says that under Gov. Rick Perry, Texas Department of Public Safety troopers have had standing orders not to inquire into the immigration status of people unless theyre under arrest.	immigration,public-safety	bill-white	Former mayor of Houston	Texas	democrat	2.0	3.0	5.0	7.0	3.0	an interview.
8371.json	true	For the first time since the Korean War, total federal spending has gone down for two years in a row.	federal-budget	dennis-ross	U.S. House of Representatives	Florida	republican	0.0	0.0	0.0	0.0	0.0	an op-ed in the Tampa Bay Times
10429.json	half-true	Middle-class Americans pay a higher tax rate than millionaires and billionaires.	income,taxes,wealth,workers	tammy-baldwin	U.S. Representative	Wisconsin	democrat	5.0	5.0	7.0	4.0	0.0	a news release
6876.json	half-true	Since President Obama took office, there are over 450,000 more unemployed women.	economy,jobs,message-machine-2012,women	mitt-romney	Former governor	Massachusetts	republican	34.0	32.0	58.0	33.0	19.0	a campaign ad
6211.json	true	Were spending $12,000 bucks a kid a year in the school system.	education,taxes	don-mcintire			newsmaker	0.0	0.0	0.0	0.0	0.0	a radio show
5452.json	half-true	The U.S. has a record number of oil rigs operating right now more working oil and gas rigs than the rest of the world combined.	energy	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a speech in Miami
7712.json	half-true	Over half of science, technology, engineering and mathematics students receiving advanced degrees are not citizens of the United States of America.	education,immigration,science,technology	john-mccain	U.S. senator	Arizona	republican	31.0	39.0	31.0	37.0	8.0	a speech at the U.S. Chamber of Commerce
1477.json	false	"On the new dollar coins, ""'In God We Trust' is gone!"""	patriotism	chain-email			none	11.0	43.0	8.0	5.0	105.0	a message circulated to many people.
6626.json	half-true	Says that like Todd Akin, all Texas Republicans in U.S. House cosponsored a bill that attempts to distinguish between forcible rape and other sexual assaults.	crime	lone-star-project		Washington	democrat	0.0	1.0	2.0	1.0	0.0	a political action committee report
11242.json	true	More Americans have died from guns in the United States since 1968 than on battlefields of all the wars in American history.	guns,military	nicholas-kristof			none	0.0	1.0	0.0	2.0	0.0	his column in the New York Times
12826.json	false	Only five Texas counties account for almost 90 percent of the (states) cattle industry.	agriculture	jeannette-vaught	University of Texas lecturer	Texas	none	0.0	1.0	0.0	0.0	0.0	an op-ed published in the Austin American-Statesman
393.json	half-true	I've been standing up against ... the Chinese government over women's rights and standing up for human rights.	foreign-policy	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	an interview on CNN's <i> American Morning</i>
1315.json	true	Guantanamo Bay detainees will get the H1N1 vaccine.	health-care,pundits,terrorism	sean-hannity	Radio/TV host		none	3.0	5.0	3.0	2.0	1.0	a comment on his television show
558.json	false	E-mail quotes Maureen Dowd column that Obama has received suspicious contributions from Saudi Arabia, Iran and China.	ethics	chain-email			none	11.0	43.0	8.0	5.0	105.0	a chain e-mail sent to many people.
597.json	false	Sen. McCain would occupy Iraq indefinitely, against their wishes.	iraq	votevetsorg			none	0.0	1.0	1.0	0.0	0.0	a TV ad
